,data_properties.twitter_followers,data_properties.facebook_followers,data_properties.instagram_followers,data_properties.ppp_country
100,16963164,12845762,10299393,14158
101,3770395,4934858,5973379,14158
102,3290775,615290,3318643,14158
103,1354635,515409,1658719,14158
104,1048188,34442,978145,14158
105,954765,0,262671,14158
106,315206,0,63105,14158
107,83233,0,525793,14158
108,78697,27180,389465,14158
109,65041,7569,3375,14158
110,99030,30475,420094,14158
111,31239,0,84980,14158
112,11627,10811,41326,14158
113,6102,244672,545144,14158
114,123,90736,2813865,14158
115,0,0,0,14158
116,10,0,33970,14158
117,0,0,549560,14158
118,0,0,0,14158
119,17347108,32872428,38318203,14158
120,0,0,393156,14158
121,0,2212934,1308974,14158
122,4,0,0,14158
123,4570888,3175236,1762353,14158
124,40607170,60991371,98264644,42609
125,3186264,6230045,6625271,42609
126,1519968,2169700,3020621,42609
127,1420774,1791685,3726855,42609
128,63829,24304,5201,57467
129,63080,26769,14942,42609
130,62189,27516,0,57467
131,61053,54522,7594,42609
132,59799,115638,19138,57467
133,59689,49207,8072,57467
134,59500,28968,15512,42609
135,59495,79419,10504,42609
136,59259,18620,15518,57467
137,58195,53485,24460,42609
138,58141,59193,5467,42609
139,58132,56224,315,42609
140,57910,199383,14791,42609
141,57850,54113,4969,42609
142,57748,75762,14724,42609
143,57732,96090,7493,42609
144,56446,34533,0,42609
145,56423,85724,8778,42609
146,56224,85421,36534,57467
147,52901,124125,15809,72419
148,51955,60896,10688,42609
149,51926,50823,8062,42609
150,51044,42118,7261,42609
151,50750,59570,8908,42609
152,50686,50514,0,42609
153,50534,42612,8815,42609
154,49975,71334,0,42609
155,48941,89448,12308,42609
156,47190,60797,5340,42609
157,46964,38929,20723,42609
158,0,0,0,42609
159,45957,64339,13915,42609
160,45574,11418,6564,42609
161,45341,42211,24681,42609
162,45208,84502,19671,42609
163,45007,62958,9290,42609
164,44650,66616,5914,42609
165,44184,26692,3575,42609
166,43964,45106,3947,42609
167,43049,38221,14392,42609
168,8220,4038,1008,42609
169,42256,25571,6413,42609
170,40831,89971,69156,42609
171,35311,10999,40747,42609
172,39721,70611,10674,42609
173,39390,24396,8868,42609
174,39241,22928,2476,42609
175,39027,58722,9621,42609
176,37949,34885,15659,42609
177,37236,24995,1736,42609
178,36552,39874,4050,42609
179,36075,71595,18330,57467
180,35722,2273,2267,42609
181,35679,40133,2154,57467
182,35245,25443,4930,42609
183,34519,40966,8029,42609
184,33762,19682,11967,42609
185,33259,8841,2258,42609
186,33014,0,0,42609
187,32402,12994,0,42609
188,32204,19325,2738,42609
189,31732,1912,46,42609
190,31256,26457,3977,42609
191,31129,5669,1666,42609
192,1473046,4270413,8667076,42609
193,1560661,703981,1381902,42609
194,1670129,0,16152416,42609
195,649835,1144095,9126952,42609
196,344986,835199,3885264,42609
197,300698,757822,2485902,42609
198,146335,494,13647765,42609
199,181052,1118249,2284352,42609
200,90629,271499,1232429,42609
201,69013,0,283994,42609
202,68531,460980,2172541,42609
203,3863,19733904,28123300,42609
204,2812,158862,729458,42609
205,0,243820,838882,42609
206,0,175848,729718,42609
207,0,118572,524037,42609
208,0,0,491894,42609
209,0,772807,5601913,42609
210,0,322806,1086074,42609
211,4381089,12096788,3582009,42609
212,5222694,7274359,17575945,41466
213,5305900,7024975,24103153,41466
214,4906794,6813277,9072371,41466
215,2587941,2064374,3083118,41466
216,2371591,2401475,0,41466
217,1254522,647619,10132827,41466
218,796055,1296069,4018234,41466
219,696571,157068,560364,41466
220,548700,0,0,41466
221,402783,268554,473766,41466
222,850663,142460,1321983,41466
223,393868,716583,3187473,41466
224,240942,170229,676847,41466
225,151958,0,763040,41466
226,94234,120996,504376,41466
227,144313,0,474144,41466
228,29560,66769,223978,41466
229,38258,27075,293730,41466
230,2740,5941,3170,41466
231,309,0,1136807,41466
